parentCluster ==> childCluster    totalParentNodes    overlappingChildNodes    Threshold(%)
5==>5	13.0    1.0    7.69
5==>6	13.0    1.0    7.69
5==>7	13.0    1.0    7.69
5==>1	13.0    2.0    15.38
5==>2	13.0    3.0    23.08
5==>3	13.0    1.0    7.69
5==>4	13.0    1.0    7.69
6==>1	3.0    1.0    33.33
6==>2	3.0    1.0    33.33
1==>5	4.0    1.0    25.0
1==>3	4.0    1.0    25.0
2==>5	9.0    2.0    22.22
2==>7	9.0    1.0    11.11
2==>2	9.0    1.0    11.11
3==>5	23.0    2.0    8.7
3==>7	23.0    1.0    4.35
3==>2	23.0    2.0    8.7
3==>4	23.0    2.0    8.7
4==>7	18.0    3.0    16.67
4==>2	18.0    2.0    11.11
