parentCluster ==> childCluster    totalParentNodes    overlappingChildNodes    Threshold(%)
9==>4	4.0    2.0    50.0
5==>4	4.0    2.0    50.0
7==>1	12.0    1.0    8.33
7==>2	12.0    4.0    33.33
7==>4	12.0    1.0    8.33
8==>3	9.0    1.0    11.11
8==>4	9.0    6.0    66.67
1==>2	15.0    2.0    13.33
1==>3	15.0    1.0    6.67
1==>4	15.0    4.0    26.67
2==>2	14.0    2.0    14.29
2==>3	14.0    1.0    7.14
2==>4	14.0    2.0    14.29
3==>2	10.0    1.0    10.0
3==>4	10.0    2.0    20.0
4==>2	7.0    1.0    14.29
4==>4	7.0    1.0    14.29
